alcaldia_cumplimiento,colonia_cumpliemiento,Average of valor_unitario_suelo,Average of valor_suelo
ALVARO OBREGON,1RA AMPLIACION PRESIDENTES,1545.3699999999967,275459.2132806571
ALVARO OBREGON,1RA SECCION CAÃ¯Â¿Â½ADA,1184.5530097087362,168994.67662815537
ALVARO OBREGON,1RA VICTORIA,1889.88617505997,397573.78665402083
ALVARO OBREGON,2DA AMPLIACION PRESIDENTES,1545.3699999999997,216005.42416897975
ALVARO OBREGON,2DA DEL MORAL DEL PUEBLO TETELPAN,2793.650000000011,1206405.6837775134
ALVARO OBREGON,2DA SECCION CAÃ¯Â¿Â½ADA,1177.919999999999,152075.46492631576
ALVARO OBREGON,2DO REACOMODO TLACUITLAPA,1342.3764373464455,146725.23298985156
ALVARO OBREGON,8 DE AGOSTO,3953.9244978166057,468914.2956580785
ALVARO OBREGON,ABRAHAM M GONZALEZ,2010.8000000000009,2112381.4268333334
ALVARO OBREGON,ACUEDUCTO,1563.159999999994,533967.7366913579
ALVARO OBREGON,ACUILOTLA,1863.8900000000033,181232.499265263
ALVARO OBREGON,ALCANTARILLA,2486.3358333333367,1289990.1835218512
ALVARO OBREGON,ALFONSO XIII,2596.373539468907,338172.0957700187
ALVARO OBREGON,ALTAVISTA,7560.485666666639,4313410.798347501
ALVARO OBREGON,AMPLIACION ACUEDUCTO,1499.7299999999989,225480.74762195122
ALVARO OBREGON,AMPLIACION ALPES,2462.180000000013,617955.2969304116
ALVARO OBREGON,AMPLIACION EL CAPULIN,1563.1600000000024,281166.9139118644
ALVARO OBREGON,AMPLIACION ESTADO DE HIDALGO,1476.8399999999972,233524.6061840709
ALVARO OBREGON,AMPLIACION JALALPA,803.3200000000044,153189.25345818175
ALVARO OBREGON,AMPLIACION LA CEBADA,1148.756691176468,197034.87594852943
ALVARO OBREGON,AMPLIACION LA MEXICANA,976.2946153846138,146916.09312098988
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1802.4299999999923,379383.1625323723
ALVARO OBREGON,AMPLIACION LOS PIRULES,1476.8399999999979,188249.59498000005
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1326.2662080537086,262378.6617084616
ALVARO OBREGON,AMPLIACION TEPEACA,1057.8299999999952,212112.29363571416
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1342.029999999999,223067.57216069364
ALVARO OBREGON,ARCOS CENTENARIO,1358.6200000000006,180786.02828148156
ALVARO OBREGON,ARTURO MARTINEZ,1880.4078021978091,244761.26329476573
ALVARO OBREGON,ARVIDE,2004.886516956919,621648.0778594866
ALVARO OBREGON,ATLAMAYA,4275.979999999992,678282.9631223087
ALVARO OBREGON,AVE REAL,1057.830000000001,224009.3379601692
ALVARO OBREGON,BALCONES DE CEHUAYO,1529.2509604519842,216825.87697175134
ALVARO OBREGON,BARRIO ALFALFAR,2582.930000000012,491741.7835212833
ALVARO OBREGON,BARRIO LA OTRA BANDA,8660.964701039737,1440097.2990139693
ALVARO OBREGON,BARRIO LORETO,9299.902144670028,10177639.020437388
ALVARO OBREGON,BARRIO NORTE,1671.3834375000165,176099.25127032425
