alcaldia_cumplimiento,colonia_cumpliemiento,Average of valor_unitario_suelo
ALVARO OBREGON,1RA AMPLIACION PRESIDENTES,1545.37
ALVARO OBREGON,1RA SECCION CAÃ¯Â¿Â½ADA,1184.55301
ALVARO OBREGON,1RA VICTORIA,1889.886175
ALVARO OBREGON,2DA AMPLIACION PRESIDENTES,1545.37
ALVARO OBREGON,2DA DEL MORAL DEL PUEBLO TETELPAN,2793.65
ALVARO OBREGON,2DA SECCION CAÃ¯Â¿Â½ADA,1177.92
ALVARO OBREGON,2DO REACOMODO TLACUITLAPA,1342.376437
ALVARO OBREGON,8 DE AGOSTO,3953.924498
ALVARO OBREGON,ABRAHAM M GONZALEZ,2010.8
ALVARO OBREGON,ACUEDUCTO,1563.16
ALVARO OBREGON,ACUILOTLA,1863.89
ALVARO OBREGON,ALCANTARILLA,2486.335833
ALVARO OBREGON,ALFONSO XIII,2596.373539
ALVARO OBREGON,ALTAVISTA,7560.485667
ALVARO OBREGON,AMPLIACION ACUEDUCTO,1499.73
ALVARO OBREGON,AMPLIACION ALPES,2462.18
ALVARO OBREGON,AMPLIACION EL CAPULIN,1563.16
ALVARO OBREGON,AMPLIACION ESTADO DE HIDALGO,1476.84
ALVARO OBREGON,AMPLIACION JALALPA,803.32
ALVARO OBREGON,AMPLIACION LA CEBADA,1148.756691
ALVARO OBREGON,AMPLIACION LA MEXICANA,976.2946154
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1802.43
ALVARO OBREGON,AMPLIACION LOS PIRULES,1476.84
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1326.266208
ALVARO OBREGON,AMPLIACION TEPEACA,1057.83
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1342.03
ALVARO OBREGON,ARCOS CENTENARIO,1358.62
ALVARO OBREGON,ARTURO MARTINEZ,1880.407802
ALVARO OBREGON,ARVIDE,2004.886517
ALVARO OBREGON,ATLAMAYA,4275.98
ALVARO OBREGON,AVE REAL,1057.83
ALVARO OBREGON,BALCONES DE CEHUAYO,1529.25096
ALVARO OBREGON,BARRIO ALFALFAR,2582.93
ALVARO OBREGON,BARRIO LA OTRA BANDA,8660.964701
ALVARO OBREGON,BARRIO LORETO,9299.902145
ALVARO OBREGON,BARRIO NORTE,1671.383438
ALVARO OBREGON,BARRIO SANTA MARIA NONOALCO,2729.68
ALVARO OBREGON,BEJERO DEL PUEBLO SANTA FE,2832.99
ALVARO OBREGON,BELEM DE LAS FLORES,2033.37
ALVARO OBREGON,BELLAVISTA,1659.02
ALVARO OBREGON,BONANZA,2010.8
ALVARO OBREGON,BOSQUE,1788.36
ALVARO OBREGON,CALZADA JALALPA,1250.574138
ALVARO OBREGON,CAMPESTRE,7643.896752
ALVARO OBREGON,CAMPO DE TIRO LOS GAMITOS,1153.95
ALVARO OBREGON,CANUTILLO,1659.2
ALVARO OBREGON,CANUTILLO 2DA SECCION,1809.230922
ALVARO OBREGON,CANUTILLO 3RA SECCION,1659.2
ALVARO OBREGON,CARLOS A MADRAZO,4207.753796
ALVARO OBREGON,CAROLA,4299.89
ALVARO OBREGON,CEHUAYA,1222.332041
ALVARO OBREGON,CHIMALISTAC,7991.50978
ALVARO OBREGON,COLINA DEL SUR,2393.03
