colonia_cumpliemiento,codigo_postal,alcaldia_cumplimiento,colonia_predio,Average of valor_unitario_suelo,Average of valor_suelo
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec Morales.,20222.04,478739.756
POLANCO II SECCION,11550,MIGUEL HIDALGO,Polanco Reforma,20222.04,1300951.24
POLANCO I SECCION,11010,MIGUEL HIDALGO,Lomas Barrilaco Secc. Vertientes,20222.04,9281916.36
POLANCO II SECCION,11350,MIGUEL HIDALGO,Polanco,20222.04,591005.4271
POLANCO II SECCION,11530,MIGUEL HIDALGO,Lomas Polanco,20222.04,161776.32
POLANCO III SECCION,11560,MIGUEL HIDALGO,POLANCO III,20222.04,3781521.48
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Polanco V Secc,20222.04,19170493.92
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Polancco,20222.04,3842187.6
POLANCO IV SECCION,11560,MIGUEL HIDALGO,POLANCO 4TA SECCION,20222.04,467063.8916
POLANCO V SECCION,11500,MIGUEL HIDALGO,Polanco,20222.04,566217.12
POLANCO V SECCION,11560,MIGUEL HIDALGO,Polanco Reforma,20222.04,1152656.28
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec-morales,20222.04,485328.96
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chapulteopec Morales,20222.04,4691513.28
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco Reforma,20222.04,849325.68
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco V SecciÃ¯Â¿Â½n,20222.04,944385.5386
POLANCO V SECCION,11590,MIGUEL HIDALGO,Rincon del Bosque,20222.04,1198155.87
POLANCO IV SECCION,11550,MIGUEL HIDALGO,MORALES PALMAS POLANCO,20222.04,408934.5867
POLANCO IV SECCION,11570,MIGUEL HIDALGO,Polanco,20219.38177,81214.902
POLANCO V SECCION,11560,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,20032.37906,159338.3724
POLANCO V SECCION,11580,MIGUEL HIDALGO,Anzures,19961.48375,1151527.082
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Chapultepec Polanco,19895.8125,604968.9163
POLANCO II SECCION,11530,MIGUEL HIDALGO,Los Morales Polanco,19454.4048,664485.9504
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec Morals,19127.01,3099375.24
BOSQUE DE CHAPULTEPEC I SECCION,11590,MIGUEL HIDALGO,Anzurez,18810.52,831904652
POLANCO II SECCION,11000,MIGUEL HIDALGO,Chapultepec,18810.52,790041.84
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas Chapultepec,18810.52,1256542.928
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas de Chapiltepec,18810.52,639557.68
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas De Chapultepez,18810.52,3084925.28
POLANCO II SECCION,11000,MIGUEL HIDALGO,Polanco,18810.52,832365.51
POLANCO II SECCION,11560,MIGUEL HIDALGO,Chap. Polanco,18810.52,2370125.52
POLANCO II SECCION,11560,MIGUEL HIDALGO,L Chap.,18810.52,1486031.08
POLANCO II SECCION,11800,MIGUEL HIDALGO,Polanco,18810.52,21820203.2
POLANCO III SECCION,11000,MIGUEL HIDALGO,'-,18810.52,601936.64
POLANCO IV SECCION,11560,MIGUEL HIDALGO,POLANCO IV SECC,18810.52,11493228
POLANCO IV SECCION,11850,MIGUEL HIDALGO,Chapultepec Polanco,18810.52,9075030.871
POLANCO V SECCION,10580,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18810.52,978147.04
POLANCO V SECCION,11550,MIGUEL HIDALGO,Palmas Polanco,18810.52,940526
POLANCO V SECCION,11580,MIGUEL HIDALGO,HAPULTEPEC MORALES,18810.52,940526
POLANCO V SECCION,11580,MIGUEL HIDALGO,POLANCO SECC V,18810.52,28102916.88
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polancol,18810.52,131673.64
POLANCO V SECCION,11580,MIGUEL HIDALGO,Rincon Bosque,18810.52,507884.04
POLANCO II SECCION,11000,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18810.52,618059.9429
POLANCO IV SECCION,11100,MIGUEL HIDALGO,Polanco,18810.52,921715.48
POLANCO V SECCION,11580,MIGUEL HIDALGO,Bosques de Chapultepec,18715.63406,2194190.583
POLANCO III SECCION,11550,MIGUEL HIDALGO,POLANCO III SECCION,18713.92401,1336122.973
POLANCO V SECCION,11580,MIGUEL HIDALGO,Ampl Chapultepec Polanco,18638.18375,810910.74
POLANCO V SECCION,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18338.30148,1035904.925
POLANCO III SECCION,11560,MIGUEL HIDALGO,POLANCO III SECCION,18275.05495,822264.4554
POLANCO II SECCION,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18256.51176,1073109.153
POLANCO II SECCION,11000,MIGUEL HIDALGO,POLANCO II SECCION,18181.10949,4079564.526
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chapultepec,18137.59,10050353.88
POLANCO I SECCION,11010,MIGUEL HIDALGO,Lomas de Chapultepec,18031.98,1393614.454
POLANCO I SECCION,11560,MIGUEL HIDALGO,Chapultepec Polanco,18031.98,1212385.479
POLANCO I SECCION,11570,MIGUEL HIDALGO,Los Morales,18031.98,558991.38
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Seccion Palmas,18031.98,476044.272
POLANCO II SECCION,11550,MIGUEL HIDALGO,Palmas Polanco,18031.98,668986.458
POLANCO III SECCION,11560,MIGUEL HIDALGO,Palmas Polanco,18031.98,812941.765
GRANADA,11520,MIGUEL HIDALGO,Chapultepec M,18031.98,396703.56
GRANADA,11520,MIGUEL HIDALGO,Chapultepec-morales,18031.98,198351.78
GRANADA,11520,MIGUEL HIDALGO,Granada Polanco,18031.98,24072693.3
LOMAS DE CHAPULTEPEC III SECCION,11000,MIGUEL HIDALGO,Lomas de Chpultepec,18031.98,504895.56
LOMAS DE CHAPULTEPEC III SECCION,11050,MIGUEL HIDALGO,Lomas Altas,18031.98,1586814.24
LOMAS DE CHAPULTEPEC III SECCION,11050,MIGUEL HIDALGO,Lomas de Cahpultepc,18031.98,1586814.24
LOMAS DE CHAPULTEPEC III SECCION,11100,MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC III SECC,18031.98,14497712
POLANCO I SECCION,115,MIGUEL HIDALGO,Morales Polanco,18031.98,1821229.98
POLANCO I SECCION,11000,MIGUEL HIDALGO,Lomas de Chapultepec Morales,18031.98,504895.44
POLANCO I SECCION,11010,MIGUEL HIDALGO,Lomas de Barrilaco,18031.98,9070085.94
POLANCO I SECCION,11010,MIGUEL HIDALGO,POLANCO I SECCION,18031.98,15426359
POLANCO I SECCION,11510,MIGUEL HIDALGO,Chapultepec Moral,18031.98,1226174.64
POLANCO I SECCION,11510,MIGUEL HIDALGO,Colonia Del Bosque,18031.98,126223.86
POLANCO I SECCION,11510,MIGUEL HIDALGO,Colonia Los Morales Polanco,18031.98,1821229.98
POLANCO I SECCION,11510,MIGUEL HIDALGO,Fracc los Morales Polanco,18031.98,450799.5
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Morales Chapultepec,18031.98,4814538.66
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Morales Polancxo,18031.98,54095.94
